iso3,country,gini_latest,gini_latest_year,gini_mid80s,gini_mid80s_year,scope
DNK,Denmark,0.284,2022,0.221,1985,oecd_idd
NOR,Norway,0.265,2022,0.222,1986,oecd_idd
FIN,Finland,0.271,2022,0.209,1986,oecd_idd
SWE,Sweden,0.286,2022,0.198,1983,oecd_idd
ESP,Spain,0.320,2021,,,oecd_idd
BEL,Belgium,0.248,2021,,,oecd_idd
NZL,New Zealand,0.320,2020,0.271,1985,oecd_idd
CAN,Canada,0.292,2021,0.293,1985,oecd_idd
GRC,Greece,0.312,2021,,,oecd_idd
AUS,Australia,0.318,2020,0.309,1989,oecd_idd
NLD,Netherlands,0.297,2021,0.272,1985,oecd_idd
JPN,Japan,0.334,2018,0.304,1985,oecd_idd
PRT,Portugal,0.318,2021,,,oecd_idd
IRL,Ireland,0.288,2021,,,oecd_idd
GBR,United Kingdom,0.355,2022,0.309,1985,oecd_idd
ITA,Italy,0.326,2021,0.291,1984,oecd_idd
CHE,Switzerland,0.316,2020,,,oecd_idd
USA,United States,0.395,2022,0.340,1985,oecd_idd
AUT,Austria,0.281,2021,,,oecd_idd
KOR,South Korea,0.324,2021,,,oecd_idd
DEU,Germany,0.296,2020,0.251,1985,oecd_idd
FRA,France,0.298,2021,0.300,1984,oecd_idd
CHL,Chile,0.448,2022,,,oecd_idd
ARG,Argentina,0.407,2022,,,world_bank
HUN,Hungary,0.291,2021,,,oecd_idd
CHN,China,0.467,2022,,,world_bank
IND,India,0.470,2022,,,world_bank
BRA,Brazil,0.489,2022,,,world_bank
ZAF,South Africa,0.620,2014,,,world_bank
COL,Colombia,0.535,2022,,,oecd_idd
