STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,STATISTICAL_OPERATION,Statistical operation,UNIT_MEASURE,Unit of measure,AGE,Age,METHODOLOGY,Methodology,DEFINITION,Definition,POVERTY_LINE,Poverty line,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals,PRICE_BASE,Price base,BASE_PER,Base period,CONF_STATUS,Confidentiality status
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2007,,0.283942371606827,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2008,,0.280397653579712,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2009,,0.288503408432007,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2010,,0.279633641242981,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2011,,0.281232565641403,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2012,,0.275904893875122,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2013,,0.28007647395134,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2014,,0.274456590414047,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2015,,0.275251656770706,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2016,,0.283751755952835,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2017,,0.275117695331573,,A,Normal value,,,,,3,Three,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,INC_DISP_GINI,Gini (disposable income),_Z,Not applicable​​,0_TO_1,0-1 scale,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2018,,0.279900133609772,,A,Normal value,,,,,3,Three,,,,,,
